gene_id	accession_number	X1C	X1O1	X1D1	X1OD1	X1O24	X1D24	X1OD24	X2C	X2O1	X2D1	X2OD1	X2O24	X2D24	X2OD24	X3C	X3O1	X3D1	X3OD1	X3O24	X3D24	X3OD24
TRINITY_DN279505_c0_g2	AAW84297	0	5	0	0	0	9	0	0	13	0	18	7	14	0	0	0	0	0	6	0	0
TRINITY_DN360636_c0_g1	AAW84298	0	14	0	0	0	0	0	0	8	0	0	18	21	0	0	0	0	0	0	5	0
TRINITY_DN381785_c8_g1	AAW84298	0	30	0	0	5	137	0	0	14	0	113	157	214	0	0	0	0	0	6	16	0
TRINITY_DN399781_c4_g5	AAW84298	0	0	0	0	0	7	0	0	0	0	8	5	17	0	0	0	0	0	9	0	0
TRINITY_DN389431_c4_g1	AAX09326	11	38	0	32	159	127	124	5	58	25	211	335	186	179	0	7	24	0	129	427	456
TRINITY_DN389925_c1_g7	AAX26869	314	244	282	173	291	131	352	407	272	351	188	61	47	269	130	186	249	211	234	163	97
TRINITY_DN399672_c6_g5	AAX37296	0	0	0	0	0	29	0	0	0	0	5	28	80	0	0	0	0	0	5	0	0
TRINITY_DN384445_c1_g5	AAX48833	47	286	58	57	570	595	442	42	233	59	758	1193	828	677	114	87	80	83	389	1069	1375
TRINITY_DN385278_c4_g5	AAX48837	65	113	12	10	69	84	80	15	108	21	90	47	99	86	34	12	5	63	45	185	138
TRINITY_DN381095_c1_g4	AAX48838	112	747	91	95	1085	1170	772	86	834	131	1159	2018	1725	1324	94	130	84	66	954	2736	5587
TRINITY_DN375917_c3_g1	AAX48839	506	536	624	1347	454	554	507	554	541	881	552	1103	520	1012	1877	1358	1039	1028	597	469	565
TRINITY_DN385045_c1_g4	AAX48841	50	1552	29	23	837	786	795	0	1572	47	1545	1667	1588	1355	38	19	44	38	1087	2482	5516
TRINITY_DN383424_c1_g1	AAX48842	63	249	138	139	811	1111	615	49	283	156	814	2659	1453	1094	75	71	137	59	759	1488	3337
TRINITY_DN396887_c6_g2	AAX48845	16	13	5	11	30	27	27	12	22	0	54	67	33	44	19	21	0	0	18	105	131
TRINITY_DN395931_c44_g1	AAX48846	271	372	322	2323	784	968	627	282	400	442	954	1712	1399	1443	1437	561	644	1383	836	1965	2366
TRINITY_DN392374_c2_g5	AAX48847	25	158	0	22	239	362	213	0	157	0	620	421	592	171	0	0	10	0	170	742	605
TRINITY_DN388360_c3_g2	AAX48851	294	1358	235	377	1816	2926	1761	242	1585	271	1647	3895	3462	2559	563	281	385	315	1590	2707	4807
TRINITY_DN397403_c2_g1	AAX48853	0	0	12	7	6	0	8	0	0	0	0	6	0	12	7	17	15	0	0	0	0
TRINITY_DN397403_c2_g4	AAX48853	833	687	743	1048	962	705	725	908	740	952	723	1108	626	1627	1515	1816	1007	1286	803	418	690
TRINITY_DN390820_c4_g1	AAX48854	23	332	11	0	305	655	280	0	260	6	641	826	938	689	6	0	14	0	291	900	1162
TRINITY_DN399448_c1_g2	AAX48855	437	627	494	1664	720	891	494	453	682	638	827	1442	1002	860	1388	1181	878	516	703	1120	1907
TRINITY_DN374617_c1_g1	AAX48858	5	0	0	24	17	0	0	6	0	0	5	15	11	0	15	0	7	0	6	23	28
TRINITY_DN387151_c0_g1	AAX48859	202	404	275	1142	1120	1399	863	197	522	327	1406	2287	2087	2029	538	482	459	336	919	2103	3463
TRINITY_DN370730_c0_g1	AAX48860	112	277	125	472	477	1056	511	74	325	188	1141	2308	1465	722	147	154	135	249	604	1556	2072
TRINITY_DN379188_c8_g3	AAX48864	111	264	98	186	348	566	337	86	304	106	484	823	726	619	221	271	172	75	280	734	1187
TRINITY_DN377883_c3_g3	AAX48865	271	235	375	693	822	723	618	206	287	322	896	1787	814	1314	782	716	539	423	919	1104	2286
TRINITY_DN395535_c1_g11	AAX48866	112	208	171	309	255	174	198	172	206	186	284	584	227	309	367	443	302	244	318	267	1045
TRINITY_DN395535_c1_g3	AAX48866	15	18	19	79	36	11	9	16	11	21	22	35	0	32	37	88	48	7	30	29	70
TRINITY_DN375139_c1_g1	AAX48867	820	627	863	1900	1429	667	1308	737	731	1121	1007	1046	513	1956	1647	1542	2051	1215	823	777	617
TRINITY_DN370258_c0_g2	AAX48869	5	7	6	16	10	17	0	0	0	0	8	26	5	11	5	0	8	0	9	23	23
TRINITY_DN370258_c0_g3	AAX48869	90	91	195	464	192	191	84	93	112	173	143	329	183	247	372	426	241	175	178	232	206
TRINITY_DN399156_c2_g1	AAX48870	1403	1483	1360	2415	1029	1036	716	1587	1638	1890	1438	2825	1234	2374	3215	3053	2480	1641	1441	2118	2000
TRINITY_DN393514_c0_g6	AAX48871	47	178	91	208	603	617	478	62	131	109	452	1010	799	1102	173	88	127	190	299	600	1049
TRINITY_DN380228_c4_g6	AAX48872	67	324	83	635	781	929	607	79	433	115	1072	1011	1019	1439	470	301	295	229	834	822	2321
TRINITY_DN379668_c4_g4	AAX48873	24	25	24	141	155	246	158	19	23	69	219	549	338	298	131	50	31	75	149	487	619
TRINITY_DN400254_c2_g9	AAX48877	205	329	297	725	397	414	394	227	364	428	557	1090	479	784	423	441	593	281	635	871	661
TRINITY_DN397882_c2_g4	AAX48880	106	619	64	97	886	1512	668	24	517	94	1258	2494	2104	1631	101	38	78	86	701	2215	3064
TRINITY_DN390722_c3_g1	AAX48881	10	31	35	129	70	137	60	43	47	33	112	166	94	118	25	61	59	35	80	131	196
TRINITY_DN383470_c0_g2	AAX48882	70	277	88	75	510	820	542	58	323	85	676	1215	1021	899	122	134	95	59	595	1149	1689
TRINITY_DN371146_c0_g1	AAX48883	359	366	302	857	394	556	263	564	387	741	577	1127	667	974	1533	1005	1172	1011	522	752	1250
TRINITY_DN391078_c1_g1	AAX48884	605	1559	799	1773	1758	2016	1470	660	1590	795	1779	2968	2954	2410	1521	1421	997	843	1662	2342	4757
TRINITY_DN391404_c4_g6	AAX48887	62	83	61	26	74	133	106	41	93	55	102	89	214	60	16	20	35	22	63	235	215
TRINITY_DN392894_c1_g2	AAX48892	145	179	488	1649	987	1130	484	196	253	324	676	1124	1078	960	322	618	587	437	702	685	1110
TRINITY_DN376266_c2_g5	AAX48893	467	652	576	1692	1300	1051	1287	521	730	600	1111	1365	972	1549	1057	1132	1099	725	869	1199	2034
TRINITY_DN398036_c0_g2	AAX48895	802	1097	866	1324	1383	1512	1087	753	1418	1173	2194	3740	2253	2384	2028	1884	1306	1365	1599	2505	4177
TRINITY_DN398667_c2_g3	AAX48896	375	585	465	1229	1838	2138	1593	419	619	572	1275	3710	2708	2391	1039	1587	792	780	1521	2688	3230
TRINITY_DN396818_c2_g2	AAX48897	10	21	15	42	40	41	14	34	22	42	66	90	31	44	37	49	72	22	47	45	146
TRINITY_DN395392_c0_g3	AAX48900	1009	1136	1077	1670	1437	1283	1416	1032	1077	1114	1046	2335	1279	2058	2068	1466	1051	1893	1034	1254	1829
TRINITY_DN395392_c0_g4	AAX48900	63	74	40	33	48	38	37	55	34	25	53	64	15	100	42	107	71	51	45	57	29
TRINITY_DN400150_c0_g10	AAX48901	33	44	52	240	46	51	28	51	27	82	56	93	13	54	110	168	89	45	63	52	117
TRINITY_DN388120_c6_g4	AAX48902	60	434	75	198	451	699	465	65	567	102	714	1265	915	712	163	168	133	83	582	1087	1534
TRINITY_DN376268_c3_g2	AAX48905	39	150	63	302	339	575	327	39	187	64	663	1048	819	539	178	107	125	111	453	757	862
TRINITY_DN394161_c5_g6	AAX48907	1535	1542	1693	2519	2367	1916	2145	1486	1628	1896	2390	2660	2317	2597	2554	2640	2432	1869	2081	2167	4442
TRINITY_DN383703_c1_g2	AAX64155	31	15	22	9	16	30	13	19	14	16	13	21	33	20	28	22	12	5	25	9	10
TRINITY_DN395628_c4_g2	AAX89406	7	17	15	0	56	61	34	0	13	0	71	158	71	87	6	15	0	0	14	195	293
TRINITY_DN387376_c5_g1	AAY16257	183	221	174	486	340	342	165	236	218	303	661	742	400	758	212	265	258	261	397	741	1946
TRINITY_DN382420_c2_g3	ABB29649	66	89	169	813	120	99	109	125	78	135	129	195	70	125	180	268	273	143	142	75	128
TRINITY_DN288707_c0_g1	ABB32917	0	0	0	0	0	24	0	0	0	0	17	13	46	0	0	0	0	0	8	0	0
TRINITY_DN399336_c3_g1	ABB34262	7	0	0	0	0	0	8	0	19	20	0	0	0	0	0	0	0	5	6	0	0
TRINITY_DN379521_c1_g13	ABB89132	19	27	10	42	0	0	0	22	16	13	0	9	0	21	0	244	16	280	6	0	0
TRINITY_DN381838_c4_g1	ABB91778	23	34	52	357	109	283	71	12	68	48	357	621	230	299	108	182	126	45	164	406	688
TRINITY_DN399591_c1_g2	ABB91778	13	126	12	7	328	315	398	0	108	21	397	999	492	553	10	0	7	14	281	588	1039
TRINITY_DN398779_c1_g4	ABC98370	0	6	0	0	15	108	6	0	5	0	10	97	166	0	0	0	0	0	5	0	0
TRINITY_DN400442_c4_g1	ABD04191	133	136	85	159	90	41	48	127	87	129	86	36	25	85	95	191	152	126	88	13	9
TRINITY_DN388294_c0_g11	ABD65419	17	25	28	25	30	14	13	25	31	31	20	9	21	19	31	33	26	23	16	19	12
TRINITY_DN388294_c0_g7	ABD65419	243	369	222	195	408	850	433	231	394	276	405	791	911	661	240	203	205	316	469	674	780
TRINITY_DN391970_c6_g12	ABD65419	6	24	18	11	33	15	29	7	14	14	32	33	30	20	0	0	0	0	18	42	67
TRINITY_DN383120_c0_g1	ABD65420	66	132	100	143	181	387	240	83	108	82	353	1498	330	296	64	90	122	88	421	327	273
TRINITY_DN367354_c0_g3	ABD65421	61	122	40	107	313	883	303	21	144	93	477	1551	1081	755	59	60	73	38	447	1971	1819
TRINITY_DN387587_c0_g3	ABD65422	0	0	0	0	0	0	0	0	0	0	0	107	7	86	22	34	5	5	0	6	123
TRINITY_DN375076_c4_g1	ABD65423	43	55	58	323	239	321	195	41	54	61	221	858	286	558	112	92	92	83	133	340	348
TRINITY_DN381216_c0_g8	ABD65427	9	5	0	22	6	0	0	7	7	16	5	0	0	0	17	16	5	5	7	0	0
TRINITY_DN388519_c1_g1	ABD65427	17	41	7	41	39	107	26	20	34	26	117	440	238	276	32	18	41	49	56	187	271
TRINITY_DN398658_c0_g1	ABD65427	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	5	6	5	0	0	7
TRINITY_DN398658_c0_g4	ABD65427	0	6	0	0	13	14	0	0	0	0	29	10	21	9	0	0	0	0	5	15	54
TRINITY_DN381106_c9_g2	ABD65429	162	189	174	881	313	302	199	150	202	185	430	528	448	488	419	319	380	375	261	396	539
TRINITY_DN370773_c5_g1	ABD65430	19	80	11	41	167	118	143	13	66	13	211	198	142	242	9	26	18	15	63	247	474
TRINITY_DN395868_c1_g1	ABD65430	0	15	0	0	58	44	28	0	7	0	82	238	55	123	0	0	0	0	80	91	33
TRINITY_DN352183_c0_g2	ABD65431	0	0	5	0	0	15	0	0	17	0	12	214	86	78	0	0	0	0	10	52	30
TRINITY_DN380253_c1_g1	ABD65434	0	0	0	0	0	8	0	0	0	0	10	31	9	0	0	0	0	0	5	14	11
TRINITY_DN391871_c3_g3	ABD65434	61	110	73	68	153	85	109	153	126	165	76	86	11	131	54	69	136	68	116	15	38
TRINITY_DN376456_c2_g3	ABD65435	169	275	110	164	324	1026	444	132	305	121	502	912	1029	570	129	90	137	194	454	973	1272
TRINITY_DN399095_c1_g2	ABD65437	5	28	26	102	22	172	22	28	56	19	44	209	151	60	19	42	47	5	27	41	57
TRINITY_DN361103_c0_g1	ABD65438	0	98	5	0	215	285	199	0	102	10	398	512	368	444	0	0	0	0	189	311	721
TRINITY_DN399456_c0_g1	ABD65442	25	16	32	42	0	26	12	16	11	21	14	11	33	5	21	39	15	48	15	7	10
TRINITY_DN395030_c2_g3	ABD65443	13	53	18	23	125	465	137	14	66	13	172	767	598	275	27	27	7	19	189	912	507
TRINITY_DN398419_c2_g2	ABD65444	35	101	52	7	193	603	248	26	122	47	237	1082	488	270	39	60	36	46	429	403	324
TRINITY_DN385956_c0_g1	ABD65445	0	14	0	0	44	57	74	0	20	0	56	97	70	98	0	0	0	0	38	123	177
TRINITY_DN377392_c0_g2	ABD65446	0	0	0	0	0	6	0	0	0	0	8	11	0	6	0	0	0	0	0	13	11
TRINITY_DN383562_c6_g3	ABD65448	0	0	0	0	0	6	0	0	0	0	13	20	13	7	0	0	0	0	7	17	27
TRINITY_DN383562_c6_g4	ABD65448	0	6	8	53	5	7	11	0	0	0	0	11	0	8	0	14	0	10	0	10	6
TRINITY_DN367283_c0_g4	ABD65449	0	11	7	9	15	9	6	6	0	8	22	27	8	38	0	10	7	0	7	5	33
TRINITY_DN298483_c0_g1	ABD65452	0	0	0	0	6	5	0	0	6	0	6	16	13	0	0	0	0	0	0	12	17
TRINITY_DN388746_c0_g1	ABD65452	0	15	0	0	124	288	109	0	47	0	230	417	312	172	0	0	0	0	101	298	296
TRINITY_DN397012_c1_g5	ABD65452	7	67	0	0	109	199	78	0	57	0	224	418	270	172	6	0	0	0	101	165	164
TRINITY_DN395935_c2_g1	ABD65455	14	27	6	67	51	131	64	5	32	7	177	263	225	165	28	11	30	23	102	126	156
TRINITY_DN389896_c1_g1	ABD65457	0	14	0	34	72	281	64	0	28	0	119	494	308	155	0	0	0	0	97	223	248
TRINITY_DN384285_c2_g8	ABD77257	0	0	0	0	0	6	0	0	0	0	8	15	0	9	0	5	5	0	0	15	12
TRINITY_DN398312_c1_g5	ABD98746	0	57	0	0	34	97	53	0	67	7	90	229	165	101	0	0	6	0	33	150	185
TRINITY_DN350715_c0_g1	ABE03914	0	5	0	0	0	13	0	0	0	0	8	7	31	0	0	0	0	0	0	0	0
TRINITY_DN397007_c5_g3	ABE03939	0	8	0	0	0	0	12	0	0	0	6	5	0	0	0	0	0	0	5	0	0
TRINITY_DN378077_c7_g6	ABE03942	0	10	0	0	0	0	0	0	26	0	11	7	5	0	0	0	0	0	0	0	0
TRINITY_DN394337_c0_g3	ABF22397	0	0	0	0	0	16	0	0	0	0	0	39	18	13	0	0	6	0	12	18	24
TRINITY_DN380693_c19_g1	ABH09321	0	71	6	5	14	537	17	0	66	0	298	1075	727	12	0	0	0	0	35	40	25
TRINITY_DN383210_c2_g1	ABH09321	23	253	16	0	42	1776	12	0	252	14	388	1890	2699	34	10	18	7	10	456	145	210
TRINITY_DN386518_c0_g1	ABH09321	0	95	0	0	32	53	15	0	78	0	130	159	90	18	0	0	0	0	0	0	0
TRINITY_DN387782_c5_g4	ABH09321	0	126	12	5	39	476	23	0	102	0	230	374	636	20	0	8	0	0	19	86	19
TRINITY_DN381122_c2_g10	ABH10972	5	43	5	0	375	78	268	0	45	0	172	193	125	563	0	0	0	0	40	556	1455
TRINITY_DN379297_c9_g7	ABI14188	10	11	24	0	0	0	8	7	8	26	7	9	0	7	5	0	20	0	9	0	0
TRINITY_DN379297_c9_g1	ABI14189	0	0	9	0	9	0	0	10	9	5	0	0	0	0	0	0	5	0	0	0	0
TRINITY_DN384644_c2_g10	ABI14189	0	6	6	0	8	0	0	5	0	15	0	0	0	0	0	0	7	0	0	0	0
TRINITY_DN390406_c0_g1	ABI14221	0	5	15	18	5	15	6	0	5	0	0	6	0	6	64	38	36	13	0	5	7
TRINITY_DN378718_c4_g2	ABI14256	0	0	11	0	0	0	5	8	0	21	7	0	0	7	0	12	0	0	0	6	0
TRINITY_DN395090_c4_g1	ABJ87411	0	178	0	0	0	0	0	0	178	0	25	34	0	0	0	0	0	0	5	0	0
TRINITY_DN394549_c3_g12	ABK26259	0	0	0	0	0	0	0	22	0	16	0	230	0	12	48	91	20	7	0	97	0
TRINITY_DN379741_c5_g3	ABK60662	0	9	0	0	6	56	0	0	0	0	12	49	62	10	0	0	0	0	9	79	63
TRINITY_DN313510_c0_g1	ABK76765	0	11	0	0	0	9	8	0	11	0	15	0	23	0	0	0	0	0	0	0	0
