gene_id	accession_number	gene_desscritpion	X1C	X1O1	X1D1	X1OD1	X1O24	X1D24	X1OD24	X2C	X2O1	X2D1	X2OD1	X2O24	X2D24	X2OD24	X3C	X3O1	X3D1	X3OD1	X3O24	X3D24	X3OD24
TRINITY_DN382355_c2_g1	AAO34720	hypothetical_protein_CTC_00065_[Clostridium_tetani_E88]<>AAO34742.1_hypothetical_protein_CTC_00089_[Clostridium_tetani_E88]<>AAO34862.1_hypothetical_protein_CTC_00214_[Clostridium_tetani_E88]<>AAO35169.1_hypothetical_protein_CTC_00549_[Clostridium_tetani_E88]<>CAO85713.1_hypothetical_CTC00065-like_protein_[Clostridium_sp.]	0	83	0	6	51	449	77	0	117	0	143	702	443	106	0	11	0	0	67	149	186
TRINITY_DN384043_c13_g1	AAO34720	hypothetical_protein_CTC_00065_[Clostridium_tetani_E88]<>AAO34742.1_hypothetical_protein_CTC_00089_[Clostridium_tetani_E88]<>AAO34862.1_hypothetical_protein_CTC_00214_[Clostridium_tetani_E88]<>AAO35169.1_hypothetical_protein_CTC_00549_[Clostridium_tetani_E88]<>CAO85713.1_hypothetical_CTC00065-like_protein_[Clostridium_sp.]	5	252	12	0	386	41	246	0	294	12	253	50	90	216	7	0	20	5	41	819	575
TRINITY_DN387238_c5_g2	AAO34720	hypothetical_protein_CTC_00065_[Clostridium_tetani_E88]<>AAO34742.1_hypothetical_protein_CTC_00089_[Clostridium_tetani_E88]<>AAO34862.1_hypothetical_protein_CTC_00214_[Clostridium_tetani_E88]<>AAO35169.1_hypothetical_protein_CTC_00549_[Clostridium_tetani_E88]<>CAO85713.1_hypothetical_CTC00065-like_protein_[Clostridium_sp.]	0	14	0	0	0	36	0	0	10	0	13	32	38	14	0	0	0	0	0	35	17
TRINITY_DN394733_c6_g1	AAO34720	hypothetical_protein_CTC_00065_[Clostridium_tetani_E88]<>AAO34742.1_hypothetical_protein_CTC_00089_[Clostridium_tetani_E88]<>AAO34862.1_hypothetical_protein_CTC_00214_[Clostridium_tetani_E88]<>AAO35169.1_hypothetical_protein_CTC_00549_[Clostridium_tetani_E88]<>CAO85713.1_hypothetical_CTC00065-like_protein_[Clostridium_sp.]	0	19	0	0	0	58	0	0	0	0	21	26	86	0	0	5	0	0	0	26	5
TRINITY_DN385313_c1_g4	AAO43049	40S_ribosomal_protein_[Perinereis_aibuhitensis]	37	26	35	53	38	17	17	60	26	41	11	9	0	36	22	249	26	340	19	0	0
TRINITY_DN388089_c0_g4	AAO49325	histone-like_protein_[Lingulodinium_polyedrum]	0	0	0	26	0	0	7	0	0	0	0	9	8	0	7	0	0	0	0	0	0
TRINITY_DN391339_c4_g4	AAO49325	histone-like_protein_[Lingulodinium_polyedrum]	0	7	10	18	0	0	5	0	0	5	0	0	0	5	33	16	10	7	0	0	6
TRINITY_DN393725_c0_g2	AAO49325	histone-like_protein_[Lingulodinium_polyedrum]	63	35	184	396	106	83	109	83	62	161	123	167	78	128	30	28	38	38	38	0	0
TRINITY_DN394990_c2_g1	AAP36290	Homo_sapiens_proteasome_(prosome,_macropain)_subunit,_beta_type,_4,_partial_[synthetic_construct]<>AAX43338.1_proteasome_subunit_beta_type_4,_partial_[synthetic_construct]	7	23	15	40	15	23	7	9	8	13	34	31	32	27	11	19	9	14	10	30	55
TRINITY_DN397923_c5_g3	AAP82507	Bruton's_tyrosine_kinase-like_protein_[Suberites_domuncula]	0	38	0	0	19	85	30	0	85	0	104	241	202	110	0	5	0	0	39	193	154
TRINITY_DN397923_c5_g6	AAP82507	Bruton's_tyrosine_kinase-like_protein_[Suberites_domuncula]	15	20	0	0	180	793	151	0	18	0	434	784	783	399	0	14	14	10	135	405	628
TRINITY_DN395098_c6_g3	AAQ20037	hypothetical_protein_FLJ20452_[Branchiostoma_belcheri_tsingtauense]	0	0	0	39	5	24	0	0	0	0	19	34	22	11	0	0	0	6	23	44	37
TRINITY_DN394500_c4_g5	AAQ54713	ferritin_[Haemaphysalis_longicornis]	105	889	105	60	2812	3307	2665	5	1053	105	4903	4994	5482	4871	74	75	71	55	2107	5162	7179
TRINITY_DN392236_c0_g1	AAQ99153	cell_surface_protein_p43_[Lingulodinium_polyedrum]	66	72	200	23	14	43	80	79	102	167	65	89	42	75	57	32	69	19	35	5	5
TRINITY_DN385086_c11_g1	AAR37445	serine_protease,_HtrA/DegQ/DegS_family_[uncultured_marine_bacterium_105]	0	0	0	0	0	36	0	0	0	0	5	5	38	0	0	0	0	0	0	0	5
TRINITY_DN381122_c2_g9	AAS72894	creatine_kinase_CK1_[Tethya_aurantium]	108	270	133	196	126	189	83	115	280	212	416	154	190	221	110	119	111	150	203	122	247
TRINITY_DN381122_c2_g2	AAS72896	creatine_kinase_CK3_[Tethya_aurantium]	0	25	0	0	8	46	15	0	27	0	53	44	42	17	0	0	0	0	33	6	188
TRINITY_DN358998_c1_g1	AAS77238	lipase/esterase_[uncultured_bacterium]	0	0	0	0	0	16	0	0	0	0	8	8	5	0	0	0	0	0	10	0	0
TRINITY_DN384092_c0_g2	AAT67596	Src_tyrosine_kinase_1_[Suberites_domuncula]	0	22	0	0	0	78	0	0	29	0	103	205	117	47	0	0	0	0	10	14	22
TRINITY_DN388827_c0_g1	AAT67597	Src_tyrosine_kinase_2_[Suberites_domuncula]	0	7	0	0	0	8	0	0	19	0	15	5	12	0	0	0	0	0	0	39	16
TRINITY_DN389524_c2_g2	AAT67597	Src_tyrosine_kinase_2_[Suberites_domuncula]	0	0	0	0	7	29	0	0	21	0	49	393	84	131	0	0	0	0	11	101	204
TRINITY_DN399996_c1_g6	AAT67597	Src_tyrosine_kinase_2_[Suberites_domuncula]	0	7	0	0	0	0	0	0	0	0	11	21	0	0	0	0	5	0	0	5	0
TRINITY_DN386210_c1_g1	AAT67598	Src_tyrosine_kinase_3_[Suberites_domuncula]	0	54	8	16	174	219	180	0	51	5	128	255	474	434	6	0	8	5	61	185	244
TRINITY_DN386903_c4_g2	AAT92157	copper_transport_protein_[Ixodes_pacificus]	141	198	238	1231	212	299	191	161	183	287	602	707	397	477	897	404	279	423	394	424	652
TRINITY_DN382846_c2_g3	AAU91204	conserved_hypothetical_protein_[Methylococcus_capsulatus_str._Bath]<>AAU92985.1_conserved_hypothetical_protein_[Methylococcus_capsulatus_str._Bath]	0	0	5	0	0	0	5	0	0	11	0	10	0	0	0	0	0	6	0	7	0
TRINITY_DN385442_c9_g1	AAU91204	conserved_hypothetical_protein_[Methylococcus_capsulatus_str._Bath]<>AAU92985.1_conserved_hypothetical_protein_[Methylococcus_capsulatus_str._Bath]	0	27	0	0	99	271	45	0	45	0	170	386	340	56	0	0	0	0	61	149	191
TRINITY_DN382286_c6_g1	AAU94666	actin,_partial_[Discodermia_sp._ETS-2004]	191	170	347	996	155	142	91	248	143	438	362	157	59	275	166	280	429	196	190	273	288
TRINITY_DN385641_c7_g3	AAU94666	actin,_partial_[Discodermia_sp._ETS-2004]	13	19	32	80	9	7	0	17	8	26	15	5	0	15	11	15	37	15	13	0	12
TRINITY_DN385755_c4_g1	AAU94666	actin,_partial_[Discodermia_sp._ETS-2004]	26	20	20	125	35	30	26	23	14	37	88	50	37	27	30	32	55	37	62	62	92
TRINITY_DN390559_c4_g2	AAU94666	actin,_partial_[Discodermia_sp._ETS-2004]	0	0	0	0	0	0	0	0	0	0	13	11	0	9	0	0	0	0	0	19	7
TRINITY_DN392300_c5_g7	AAU94666	actin,_partial_[Discodermia_sp._ETS-2004]	0	0	0	0	11	25	0	0	0	0	7	24	13	13	0	0	0	0	0	44	0
TRINITY_DN380870_c3_g1	AAV34145	EF-1_alpha-like_protein_[Heterocapsa_triquetra]	0	5	21	0	0	5	0	0	0	8	10	0	0	9	0	0	0	7	7	0	0
TRINITY_DN380870_c3_g3	AAV34145	EF-1_alpha-like_protein_[Heterocapsa_triquetra]	0	16	16	8	0	0	0	6	5	0	0	0	5	7	6	8	7	0	0	0	0
TRINITY_DN383277_c2_g4	AAV34145	EF-1_alpha-like_protein_[Heterocapsa_triquetra]	5	0	13	0	0	0	0	6	5	7	6	0	0	0	0	0	20	0	0	0	0
TRINITY_DN399667_c0_g2	AAW33887	plastid_oxygen-evolving_enhancer_1-2_precursor_[Heterocapsa_triquetra]	0	0	0	0	0	0	0	0	6	0	0	0	6	0	26	13	0	0	0	0	6
TRINITY_DN389752_c5_g4	AAW40604	resolvase_domain_protein_[Dehalococcoides_mccartyi_195]	0	0	0	0	0	16	5	0	0	0	7	39	31	0	0	0	0	0	0	0	0
TRINITY_DN397344_c2_g1	AAW79333	chloroplast_cytochrome_c6_[Heterocapsa_triquetra]	0	0	0	0	0	0	12	5	0	7	0	0	5	0	20	17	6	5	0	0	0
TRINITY_DN393972_c2_g2	AAW79388	unknown_protein_[Heterocapsa_triquetra]	0	0	5	0	0	0	0	0	0	0	0	0	0	6	7	5	5	0	0	0	0
TRINITY_DN376364_c0_g2	AAW79395	unknown_protein,_partial_[Heterocapsa_triquetra]	0	6	5	13	0	0	6	0	0	15	0	0	0	0	26	0	14	11	0	0	0
TRINITY_DN385322_c3_g1	AAW79404	unknown_protein,_partial_[Heterocapsa_triquetra]	0	18	0	0	17	55	0	0	15	0	47	168	107	24	0	0	0	0	68	77	87
TRINITY_DN379763_c0_g1	AAW80673	chloroplast_ATPH_isoform_3_[Heterocapsa_triquetra]	0	6	25	11	0	0	0	0	0	10	0	5	0	0	59	24	26	0	0	0	0
TRINITY_DN395090_c2_g1	AAW80673	chloroplast_ATPH_isoform_3_[Heterocapsa_triquetra]	0	13	18	14	0	6	0	0	0	27	14	5	0	10	55	35	18	16	0	0	0
TRINITY_DN395090_c4_g5	AAW80673	chloroplast_ATPH_isoform_3_[Heterocapsa_triquetra]	0	0	25	19	0	5	0	0	0	6	0	0	6	5	26	25	15	6	0	0	0
TRINITY_DN354604_c0_g1	AAW84295	putative_isoleucyl-tRNA_synthetase_[uncultured_Poribacteria_bacterium_64K2]	0	0	0	0	0	8	0	0	0	0	5	13	7	0	0	0	0	0	5	0	0
TRINITY_DN279505_c0_g2	AAW84297	putative_oxidoreductase_small_subunit_[uncultured_Poribacteria_bacterium_64K2]	0	5	0	0	0	9	0	0	13	0	18	7	14	0	0	0	0	0	6	0	0
TRINITY_DN360636_c0_g1	AAW84298	putative_oxidoreductase_large_subunit_[uncultured_Poribacteria_bacterium_64K2]	0	14	0	0	0	0	0	0	8	0	0	18	21	0	0	0	0	0	0	5	0
TRINITY_DN381785_c8_g1	AAW84298	putative_oxidoreductase_large_subunit_[uncultured_Poribacteria_bacterium_64K2]	0	30	0	0	5	137	0	0	14	0	113	157	214	0	0	0	0	0	6	16	0
TRINITY_DN399781_c4_g5	AAW84298	putative_oxidoreductase_large_subunit_[uncultured_Poribacteria_bacterium_64K2]	0	0	0	0	0	7	0	0	0	0	8	5	17	0	0	0	0	0	9	0	0
TRINITY_DN389431_c4_g1	AAX09326	nucleoside_diphosphate_kinase_Nm23-SD1_[Suberites_domuncula]	11	38	0	32	159	127	124	5	58	25	211	335	186	179	0	7	24	0	129	427	456
TRINITY_DN389925_c1_g7	AAX26869	unknown_[Schistosoma_japonicum]	314	244	282	173	291	131	352	407	272	351	188	61	47	269	130	186	249	211	234	163	97
TRINITY_DN399672_c6_g5	AAX37296	lipase/esterase_[uncultured_bacterium]	0	0	0	0	0	29	0	0	0	0	5	28	80	0	0	0	0	0	5	0	0
TRINITY_DN384445_c1_g5	AAX48833	L3_[Suberites_domuncula]	47	286	58	57	570	595	442	42	233	59	758	1193	828	677	114	87	80	83	389	1069	1375
TRINITY_DN385278_c4_g5	AAX48837	L7_[Suberites_domuncula]	65	113	12	10	69	84	80	15	108	21	90	47	99	86	34	12	5	63	45	185	138
TRINITY_DN381095_c1_g4	AAX48838	L7a_[Suberites_domuncula]	112	747	91	95	1085	1170	772	86	834	131	1159	2018	1725	1324	94	130	84	66	954	2736	5587
TRINITY_DN375917_c3_g1	AAX48839	L9_[Suberites_domuncula]	506	536	624	1347	454	554	507	554	541	881	552	1103	520	1012	1877	1358	1039	1028	597	469	565
TRINITY_DN385045_c1_g4	AAX48841	L10e/P0_[Suberites_domuncula]	50	1552	29	23	837	786	795	0	1572	47	1545	1667	1588	1355	38	19	44	38	1087	2482	5516
TRINITY_DN383424_c1_g1	AAX48842	L10a_[Suberites_domuncula]	63	249	138	139	811	1111	615	49	283	156	814	2659	1453	1094	75	71	137	59	759	1488	3337
TRINITY_DN396887_c6_g2	AAX48845	L13_[Suberites_domuncula]	16	13	5	11	30	27	27	12	22	0	54	67	33	44	19	21	0	0	18	105	131
TRINITY_DN395931_c44_g1	AAX48846	L13a_[Suberites_domuncula]	271	372	322	2323	784	968	627	282	400	442	954	1712	1399	1443	1437	561	644	1383	836	1965	2366
TRINITY_DN392374_c2_g5	AAX48847	L14_[Suberites_domuncula]	25	158	0	22	239	362	213	0	157	0	620	421	592	171	0	0	10	0	170	742	605
TRINITY_DN388360_c3_g2	AAX48851	L18a_[Suberites_domuncula]	294	1358	235	377	1816	2926	1761	242	1585	271	1647	3895	3462	2559	563	281	385	315	1590	2707	4807
TRINITY_DN397403_c2_g1	AAX48853	L21_[Suberites_domuncula]	0	0	12	7	6	0	8	0	0	0	0	6	0	12	7	17	15	0	0	0	0
TRINITY_DN397403_c2_g4	AAX48853	L21_[Suberites_domuncula]	833	687	743	1048	962	705	725	908	740	952	723	1108	626	1627	1515	1816	1007	1286	803	418	690
TRINITY_DN390820_c4_g1	AAX48854	L22_[Suberites_domuncula]	23	332	11	0	305	655	280	0	260	6	641	826	938	689	6	0	14	0	291	900	1162
TRINITY_DN399448_c1_g2	AAX48855	L23,_partial_[Suberites_domuncula]	437	627	494	1664	720	891	494	453	682	638	827	1442	1002	860	1388	1181	878	516	703	1120	1907
TRINITY_DN374617_c1_g1	AAX48858	L24-like_[Suberites_domuncula]	5	0	0	24	17	0	0	6	0	0	5	15	11	0	15	0	7	0	6	23	28
TRINITY_DN387151_c0_g1	AAX48859	L26_[Suberites_domuncula]	202	404	275	1142	1120	1399	863	197	522	327	1406	2287	2087	2029	538	482	459	336	919	2103	3463
TRINITY_DN370730_c0_g1	AAX48860	L27_[Suberites_domuncula]	112	277	125	472	477	1056	511	74	325	188	1141	2308	1465	722	147	154	135	249	604	1556	2072
TRINITY_DN379188_c8_g3	AAX48864	L30_[Suberites_domuncula]	111	264	98	186	348	566	337	86	304	106	484	823	726	619	221	271	172	75	280	734	1187
TRINITY_DN377883_c3_g3	AAX48865	L31,_partial_[Suberites_domuncula]	271	235	375	693	822	723	618	206	287	322	896	1787	814	1314	782	716	539	423	919	1104	2286
TRINITY_DN395535_c1_g11	AAX48866	L32_[Suberites_domuncula]	112	208	171	309	255	174	198	172	206	186	284	584	227	309	367	443	302	244	318	267	1045
TRINITY_DN395535_c1_g3	AAX48866	L32_[Suberites_domuncula]	15	18	19	79	36	11	9	16	11	21	22	35	0	32	37	88	48	7	30	29	70
TRINITY_DN375139_c1_g1	AAX48867	L34_[Suberites_domuncula]	820	627	863	1900	1429	667	1308	737	731	1121	1007	1046	513	1956	1647	1542	2051	1215	823	777	617
TRINITY_DN370258_c0_g2	AAX48869	L35a_[Suberites_domuncula]	5	7	6	16	10	17	0	0	0	0	8	26	5	11	5	0	8	0	9	23	23
TRINITY_DN370258_c0_g3	AAX48869	L35a_[Suberites_domuncula]	90	91	195	464	192	191	84	93	112	173	143	329	183	247	372	426	241	175	178	232	206
TRINITY_DN399156_c2_g1	AAX48870	L36_[Suberites_domuncula]	1403	1483	1360	2415	1029	1036	716	1587	1638	1890	1438	2825	1234	2374	3215	3053	2480	1641	1441	2118	2000
TRINITY_DN393514_c0_g6	AAX48871	L37_[Suberites_domuncula]	47	178	91	208	603	617	478	62	131	109	452	1010	799	1102	173	88	127	190	299	600	1049
TRINITY_DN380228_c4_g6	AAX48872	L37a_[Suberites_domuncula]	67	324	83	635	781	929	607	79	433	115	1072	1011	1019	1439	470	301	295	229	834	822	2321
TRINITY_DN379668_c4_g4	AAX48873	L38_[Suberites_domuncula]	24	25	24	141	155	246	158	19	23	69	219	549	338	298	131	50	31	75	149	487	619
TRINITY_DN400254_c2_g9	AAX48877	S2_[Suberites_domuncula]	205	329	297	725	397	414	394	227	364	428	557	1090	479	784	423	441	593	281	635	871	661
